timeframe,dataset_id,bar_id,session_date,start_timestamp,end_timestamp,completion,actual_duration_minutes,open,high,low,close,volume,source_bar_count
4h,62fbe0edcd5c08a14078ed10fb801160906d2850e9b3ce55c72ca7bca44a01bf,6b4c068814b93e6fbc654575fedde32df2da0ecfe95f36b6d3bdbf15b1c4669b,2024-06-24,2024-06-24T13:30:00+00:00,2024-06-24T17:30:00+00:00,completed,240,500,500.52,499.97,500.49,49128,48
4h,62fbe0edcd5c08a14078ed10fb801160906d2850e9b3ce55c72ca7bca44a01bf,f091190cbdfd433f2379a7f63575789ce4f13f2575fbc295d573b1ab6b0b7698,2024-06-24,2024-06-24T17:30:00+00:00,2024-06-24T20:00:00+00:00,completed_partial_duration_terminal,150,500.48,500.82,500.45,500.79,31875,30
4h,62fbe0edcd5c08a14078ed10fb801160906d2850e9b3ce55c72ca7bca44a01bf,6a5c527be137c530c5407d410e054de348882cd884b33ed13c4b382b8d27cbbd,2024-06-25,2024-06-25T13:30:00+00:00,2024-06-25T17:30:00+00:00,completed,240,500.78,501.3,500.75,501.27,52872,48
4h,62fbe0edcd5c08a14078ed10fb801160906d2850e9b3ce55c72ca7bca44a01bf,3375632ee2e9b5821bab57fc7dc6b149bb1af5051634696c8c92251fd696f90f,2024-06-25,2024-06-25T17:30:00+00:00,2024-06-25T20:00:00+00:00,completed_partial_duration_terminal,150,501.26,501.6,501.23,501.57,34215,30
4h,62fbe0edcd5c08a14078ed10fb801160906d2850e9b3ce55c72ca7bca44a01bf,ef3ea8f9a52ac0808425a70c7b40fa92cb8cc94da7294cfd511e15b80a4c9936,2024-06-26,2024-06-26T13:30:00+00:00,2024-06-26T17:30:00+00:00,completed,240,501.56,502.08,501.53,502.05,56616,48
4h,62fbe0edcd5c08a14078ed10fb801160906d2850e9b3ce55c72ca7bca44a01bf,d1b9a01b237958f860543fc571b8dc4061d4bc7acad053097f89ead3c711a18f,2024-06-26,2024-06-26T17:30:00+00:00,2024-06-26T20:00:00+00:00,completed_partial_duration_terminal,150,502.04,502.38,502.01,502.35,36555,30
4h,62fbe0edcd5c08a14078ed10fb801160906d2850e9b3ce55c72ca7bca44a01bf,e5f6a22c7497c86a4b783ac9e246495d965551fcf21707054e4a0e7bcdd744b3,2024-06-27,2024-06-27T13:30:00+00:00,2024-06-27T17:30:00+00:00,completed,240,502.34,502.86,502.31,502.83,60360,48
4h,62fbe0edcd5c08a14078ed10fb801160906d2850e9b3ce55c72ca7bca44a01bf,143d7e4716b146a5a39f5ae039c73133dbd5c543f471634285ca1bcf56933013,2024-06-27,2024-06-27T17:30:00+00:00,2024-06-27T20:00:00+00:00,completed_partial_duration_terminal,150,502.82,503.16,502.79,503.13,38895,30
4h,62fbe0edcd5c08a14078ed10fb801160906d2850e9b3ce55c72ca7bca44a01bf,3b99d10f7890264319359870c1373f39b869130fe84827ad5b5c3811c8d21364,2024-06-28,2024-06-28T13:30:00+00:00,2024-06-28T17:30:00+00:00,completed,240,503.12,503.64,503.09,503.61,64104,48
4h,62fbe0edcd5c08a14078ed10fb801160906d2850e9b3ce55c72ca7bca44a01bf,a393ee26b16fcf57a4384e2867b7cb37ee0f5d54451c2de383b21bdf12a9567a,2024-06-28,2024-06-28T17:30:00+00:00,2024-06-28T20:00:00+00:00,completed_partial_duration_terminal,150,503.6,503.94,503.57,503.91,41235,30
4h,62fbe0edcd5c08a14078ed10fb801160906d2850e9b3ce55c72ca7bca44a01bf,65539419230fdb22fb64db93b66f00b2dbedc97815d14534f8738849098f2647,2024-07-01,2024-07-01T13:30:00+00:00,2024-07-01T17:30:00+00:00,completed,240,503.9,504.42,503.87,504.39,67848,48
4h,62fbe0edcd5c08a14078ed10fb801160906d2850e9b3ce55c72ca7bca44a01bf,15c69f576431c37e38489d281468e00c1894c7f558c7eb3fb4d3c64621b42c1f,2024-07-01,2024-07-01T17:30:00+00:00,2024-07-01T20:00:00+00:00,completed_partial_duration_terminal,150,504.38,504.72,504.35,504.69,43575,30
4h,62fbe0edcd5c08a14078ed10fb801160906d2850e9b3ce55c72ca7bca44a01bf,ab3781d822051047bf9fc052ed550352e2d527be1cdf72926e8393746cf9e3ca,2024-07-02,2024-07-02T13:30:00+00:00,2024-07-02T17:30:00+00:00,completed,240,504.68,505.2,504.65,505.17,71592,48
4h,62fbe0edcd5c08a14078ed10fb801160906d2850e9b3ce55c72ca7bca44a01bf,71d73df7da0dcfef48b055c8a0cc6a08ddcf9d80613c7c57dbe5e159b17b4a68,2024-07-02,2024-07-02T17:30:00+00:00,2024-07-02T20:00:00+00:00,completed_partial_duration_terminal,150,505.16,505.5,505.13,505.47,45915,30
4h,62fbe0edcd5c08a14078ed10fb801160906d2850e9b3ce55c72ca7bca44a01bf,500f83076088573ab72713315853c2025832347c4f2ae09b56e588397ff334be,2024-07-03,2024-07-03T13:30:00+00:00,2024-07-03T17:00:00+00:00,completed_partial_duration_terminal,210,505.46,505.92,505.43,505.89,65793,42
4h,62fbe0edcd5c08a14078ed10fb801160906d2850e9b3ce55c72ca7bca44a01bf,458f23c840bc9a063403d60fa569f8ee8dc6f523f3afeb9a28094d36cfb64182,2024-07-05,2024-07-05T13:30:00+00:00,2024-07-05T17:30:00+00:00,completed,240,505.88,506.4,505.85,506.37,77352,48
4h,62fbe0edcd5c08a14078ed10fb801160906d2850e9b3ce55c72ca7bca44a01bf,7418a8afe88e574961a128183fc1dbd9ae7e56e4816034e5af43fc74eb361b78,2024-07-05,2024-07-05T17:30:00+00:00,2024-07-05T20:00:00+00:00,completed_partial_duration_terminal,150,506.36,506.7,506.33,506.67,49515,30
4h,62fbe0edcd5c08a14078ed10fb801160906d2850e9b3ce55c72ca7bca44a01bf,c551d5b15484fdd8938bb526e59b0127c75e37eca7bd2db6af03365cb8c26735,2024-07-08,2024-07-08T13:30:00+00:00,2024-07-08T17:30:00+00:00,completed,240,506.66,507.18,506.63,507.15,81096,48
4h,62fbe0edcd5c08a14078ed10fb801160906d2850e9b3ce55c72ca7bca44a01bf,396a4ca86418cceaaa5f8e152240308220c68931477f07aeddff8eca7da54ade,2024-07-08,2024-07-08T17:30:00+00:00,2024-07-08T20:00:00+00:00,completed_partial_duration_terminal,150,507.14,507.48,507.11,507.45,51855,30
4h,62fbe0edcd5c08a14078ed10fb801160906d2850e9b3ce55c72ca7bca44a01bf,76d774d9d873231ffd983617a490294b651d5bff6c86b18a8d48ac546c7dcd63,2024-07-09,2024-07-09T13:30:00+00:00,2024-07-09T17:30:00+00:00,completed,240,507.44,507.96,507.41,507.93,84840,48
4h,62fbe0edcd5c08a14078ed10fb801160906d2850e9b3ce55c72ca7bca44a01bf,024063308c96f63b9d3a036b7730eddd7707f532e65150dd6eb9da46238526ce,2024-07-09,2024-07-09T17:30:00+00:00,2024-07-09T20:00:00+00:00,completed_partial_duration_terminal,150,507.92,508.26,507.89,508.23,54195,30
4h,62fbe0edcd5c08a14078ed10fb801160906d2850e9b3ce55c72ca7bca44a01bf,dd2c33fe90443d6b6e958c9f5c1cc64cd655adcf7f41039c57ddf0c497e41590,2024-07-10,2024-07-10T13:30:00+00:00,2024-07-10T17:30:00+00:00,completed,240,508.22,508.74,508.19,508.71,88584,48
4h,62fbe0edcd5c08a14078ed10fb801160906d2850e9b3ce55c72ca7bca44a01bf,7808f3a1837da90698f5b8a1e74ee760a5d0a0c423b5be77558cf16494f52482,2024-07-10,2024-07-10T17:30:00+00:00,2024-07-10T20:00:00+00:00,completed_partial_duration_terminal,150,508.7,509.04,508.67,509.01,56535,30
4h,62fbe0edcd5c08a14078ed10fb801160906d2850e9b3ce55c72ca7bca44a01bf,48ce839e5e8abffe926105ff35097a0292573d7da232927023b8d77186eae56a,2024-07-11,2024-07-11T13:30:00+00:00,2024-07-11T17:30:00+00:00,completed,240,509,509.52,508.97,509.49,92328,48
4h,62fbe0edcd5c08a14078ed10fb801160906d2850e9b3ce55c72ca7bca44a01bf,31bd2d43e264c038ce12832aefd4230e2f2da133cbefdf6d53afcde111f44a74,2024-07-11,2024-07-11T17:30:00+00:00,2024-07-11T20:00:00+00:00,completed_partial_duration_terminal,150,509.48,509.82,509.45,509.79,58875,30
4h,62fbe0edcd5c08a14078ed10fb801160906d2850e9b3ce55c72ca7bca44a01bf,406f18668b8cf085b3f4d050b3c55078ebd67b87e91737d7b2b87a47bce05a8b,2024-07-12,2024-07-12T13:30:00+00:00,2024-07-12T17:30:00+00:00,completed,240,509.78,510.3,509.75,510.27,96072,48
4h,62fbe0edcd5c08a14078ed10fb801160906d2850e9b3ce55c72ca7bca44a01bf,87b0eebb1e9ce085c20462f38432069663d8fd7aad6adb1dc1cd6527f598b13c,2024-07-12,2024-07-12T17:30:00+00:00,2024-07-12T20:00:00+00:00,completed_partial_duration_terminal,150,510.26,510.6,510.23,510.57,61215,30
