timeframe,dataset_id,bar_id,session_date,start_timestamp,end_timestamp,completion,actual_duration_minutes,open,high,low,close,volume,source_bar_count
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,905fd34279f2733e614103a6a52dba4d3ab5afed1edc4a1f8e8dec5b75327bcf,2024-06-24,2024-06-24T13:30:00+00:00,2024-06-24T13:35:00+00:00,completed,5,500,500.05,499.97,500.02,1000,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,9031cf5d462fc2170d5f0c1f8504a941965e90fd93e21fa001129934636d1330,2024-06-24,2024-06-24T13:35:00+00:00,2024-06-24T13:40:00+00:00,completed,5,500.01,500.06,499.98,500.03,1001,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,ac35e0ed26e9f4d3297fefd4856d966be29096680646fe301e010b2e99429869,2024-06-24,2024-06-24T13:40:00+00:00,2024-06-24T13:45:00+00:00,completed,5,500.02,500.07,499.99,500.04,1002,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,f5d4635e6dc18864bb40d8bb0b234b206b6550fe6af0864446ed9843b68db43c,2024-06-24,2024-06-24T13:45:00+00:00,2024-06-24T13:50:00+00:00,completed,5,500.03,500.08,500,500.05,1003,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,e54f4d54c6076bd872a31ee991f8be41b859a3aad56845a8bccd6b6846a593eb,2024-06-24,2024-06-24T13:50:00+00:00,2024-06-24T13:55:00+00:00,completed,5,500.04,500.09,500.01,500.06,1004,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,8f9f268f759201b7c34fbb35a393f919fdfa3880611b55b8393867c3c5e42dfa,2024-06-24,2024-06-24T13:55:00+00:00,2024-06-24T14:00:00+00:00,completed,5,500.05,500.1,500.02,500.07,1005,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,9d517e8d4283348e2b6676c6d530d1cd15e1eda768e88afaae7b66931a4d085f,2024-06-24,2024-06-24T14:00:00+00:00,2024-06-24T14:05:00+00:00,completed,5,500.06,500.11,500.03,500.08,1006,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,f2abd9f272aeb42148f762855a414aa68e6093ff24ee91958e04b93868c8dd39,2024-06-24,2024-06-24T14:05:00+00:00,2024-06-24T14:10:00+00:00,completed,5,500.07,500.12,500.04,500.09,1007,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,35a9bd797b7ad218c9edb2d8b854704a14d1d3b0fb15c930181cec8372574a46,2024-06-24,2024-06-24T14:10:00+00:00,2024-06-24T14:15:00+00:00,completed,5,500.08,500.13,500.05,500.1,1008,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,a3e7cd8b15d058cb3637e4a75a45a6b15ff57a9c15f2a886a7014e0d4c34d918,2024-06-24,2024-06-24T14:15:00+00:00,2024-06-24T14:20:00+00:00,completed,5,500.09,500.14,500.06,500.11,1009,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,b8e1bf7e4a93ccbac0ddff9cf7f3a2cc1477a44bbb646e8317dc65ac69e92334,2024-06-24,2024-06-24T14:20:00+00:00,2024-06-24T14:25:00+00:00,completed,5,500.1,500.15,500.07,500.12,1010,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,3e1d125507c1a4c23d7f4fd9fd9fd39b6e259acb5fb9f46bb556ff1de53ce868,2024-06-24,2024-06-24T14:25:00+00:00,2024-06-24T14:30:00+00:00,completed,5,500.11,500.16,500.08,500.13,1011,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,c5fa86a64625a2680134494cd027b3baaa424cfd320307788c3a63e677854183,2024-06-24,2024-06-24T14:30:00+00:00,2024-06-24T14:35:00+00:00,completed,5,500.12,500.17,500.09,500.14,1012,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,b2000a496f74e5f07492f219d815076a28b757a888e58ba5cbc66a91e92ea8e1,2024-06-24,2024-06-24T14:35:00+00:00,2024-06-24T14:40:00+00:00,completed,5,500.13,500.18,500.1,500.15,1013,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,8e1c0cd2316497f01d2e6a67626224a5fa8121ee75eb0f915c958393d85db593,2024-06-24,2024-06-24T14:40:00+00:00,2024-06-24T14:45:00+00:00,completed,5,500.14,500.19,500.11,500.16,1014,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,780892a153a4ea0da47f1cf05ecf6cd1c8787751454566034ddc222481b2c109,2024-06-24,2024-06-24T14:45:00+00:00,2024-06-24T14:50:00+00:00,completed,5,500.15,500.2,500.12,500.17,1015,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,82f99e2f4174ed2d147f0c81d6d15d61ab7b6351ab38b8a10c404860d26c8cf8,2024-06-24,2024-06-24T14:50:00+00:00,2024-06-24T14:55:00+00:00,completed,5,500.16,500.21,500.13,500.18,1016,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,b6bbcc5a5d55cc0493846b06848f708cf91057b3b52f4bcec68fe4b70660fedd,2024-06-24,2024-06-24T14:55:00+00:00,2024-06-24T15:00:00+00:00,completed,5,500.17,500.22,500.14,500.19,1017,1
