timeframe,dataset_id,bar_id,period_identifier,session_dates,start_timestamp,end_timestamp,completion,open,high,low,close,volume,source_bar_count
daily,c54c946f97d4cef27879d6aefbcf0f0b79ea793a81a80ad69ba41e5ff822d52d,f8b9d4fb2916604114ee50d9970d2119fc6e797d06e4f1f432af3c7c664587ea,session:2024-06-24,2024-06-24,2024-06-24T13:30:00+00:00,2024-06-24T20:00:00+00:00,completed,500,500.82,499.97,500.79,81003,78
daily,c54c946f97d4cef27879d6aefbcf0f0b79ea793a81a80ad69ba41e5ff822d52d,7eabe39b87d66d94c9ec67646f53bb114061269a1670a1234cdabb33d79c1d52,session:2024-06-25,2024-06-25,2024-06-25T13:30:00+00:00,2024-06-25T20:00:00+00:00,completed,500.78,501.6,500.75,501.57,87087,78
daily,c54c946f97d4cef27879d6aefbcf0f0b79ea793a81a80ad69ba41e5ff822d52d,95a693acbb9329b3d1dd9decffea1cc867260a59e18f46de47ae66920382ba0d,session:2024-06-26,2024-06-26,2024-06-26T13:30:00+00:00,2024-06-26T20:00:00+00:00,completed,501.56,502.38,501.53,502.35,93171,78
daily,c54c946f97d4cef27879d6aefbcf0f0b79ea793a81a80ad69ba41e5ff822d52d,f9a61f17dc963396302c5bb0e253bc83007fb91db79a3c08a108110cbd8961a3,session:2024-06-27,2024-06-27,2024-06-27T13:30:00+00:00,2024-06-27T20:00:00+00:00,completed,502.34,503.16,502.31,503.13,99255,78
daily,c54c946f97d4cef27879d6aefbcf0f0b79ea793a81a80ad69ba41e5ff822d52d,3fd1ed0ed75c7c5738fb16325a93280705fbf2044716292313072b2fdea67b82,session:2024-06-28,2024-06-28,2024-06-28T13:30:00+00:00,2024-06-28T20:00:00+00:00,completed,503.12,503.94,503.09,503.91,105339,78
daily,c54c946f97d4cef27879d6aefbcf0f0b79ea793a81a80ad69ba41e5ff822d52d,7869a67c8ce4ea0aa0d075e4fde99141fcdfd3b89d721736b0226532e1478f65,session:2024-07-01,2024-07-01,2024-07-01T13:30:00+00:00,2024-07-01T20:00:00+00:00,completed,503.9,504.72,503.87,504.69,111423,78
daily,c54c946f97d4cef27879d6aefbcf0f0b79ea793a81a80ad69ba41e5ff822d52d,f648b6cb9ceaeaf715306f02274b8735add5f7d7a6cc46cd18ae18ab2e44e979,session:2024-07-02,2024-07-02,2024-07-02T13:30:00+00:00,2024-07-02T20:00:00+00:00,completed,504.68,505.5,504.65,505.47,117507,78
daily,c54c946f97d4cef27879d6aefbcf0f0b79ea793a81a80ad69ba41e5ff822d52d,79acb996e1fb66bfe847a7d83f125c377d67a8c05c6fe580880ab64309d135e9,session:2024-07-03,2024-07-03,2024-07-03T13:30:00+00:00,2024-07-03T17:00:00+00:00,completed,505.46,505.92,505.43,505.89,65793,42
daily,c54c946f97d4cef27879d6aefbcf0f0b79ea793a81a80ad69ba41e5ff822d52d,23c48b1e2421c758128c97c9b92decb54fcdcac098a3502186e88d1172539cf2,session:2024-07-05,2024-07-05,2024-07-05T13:30:00+00:00,2024-07-05T20:00:00+00:00,completed,505.88,506.7,505.85,506.67,126867,78
daily,c54c946f97d4cef27879d6aefbcf0f0b79ea793a81a80ad69ba41e5ff822d52d,a12fd75ab1f8898f8cad902b4e4e29f037f85b5bbf15e9fd54987db4bc12a272,session:2024-07-08,2024-07-08,2024-07-08T13:30:00+00:00,2024-07-08T20:00:00+00:00,completed,506.66,507.48,506.63,507.45,132951,78
daily,c54c946f97d4cef27879d6aefbcf0f0b79ea793a81a80ad69ba41e5ff822d52d,6dfd81a5296498a2e1afb9101e1eb8b03b5ba50235bab67a81bb6816c9ea35c3,session:2024-07-09,2024-07-09,2024-07-09T13:30:00+00:00,2024-07-09T20:00:00+00:00,completed,507.44,508.26,507.41,508.23,139035,78
daily,c54c946f97d4cef27879d6aefbcf0f0b79ea793a81a80ad69ba41e5ff822d52d,10c09ed11b7c1c7e830a716feece7612759e9cf54b5bc9c806976fa32f77d24d,session:2024-07-10,2024-07-10,2024-07-10T13:30:00+00:00,2024-07-10T20:00:00+00:00,completed,508.22,509.04,508.19,509.01,145119,78
daily,c54c946f97d4cef27879d6aefbcf0f0b79ea793a81a80ad69ba41e5ff822d52d,f661052b865fa16cecf3a4771dc23842d2a5debb5d4d17ba9d64b1b5a026b3d3,session:2024-07-11,2024-07-11,2024-07-11T13:30:00+00:00,2024-07-11T20:00:00+00:00,completed,509,509.82,508.97,509.79,151203,78
daily,c54c946f97d4cef27879d6aefbcf0f0b79ea793a81a80ad69ba41e5ff822d52d,79cd310e483b2bc6c5485c1be31491f09697fec1d67d9f4c5a191742626042a3,session:2024-07-12,2024-07-12,2024-07-12T13:30:00+00:00,2024-07-12T20:00:00+00:00,completed,509.78,510.6,509.75,510.57,157287,78
